NF_dB,RBW_Hz,Noise_in_RBW_dBm,Required_P0_dBm,Required_P1_dBm
1,1000,-143.0,-113.0,-133.0
1,10000,-133.0,-103.0,-123.0
1,100000,-123.0,-93.0,-113.0
3,1000,-141.0,-111.0,-131.0
3,10000,-131.0,-101.0,-121.0
3,100000,-121.0,-91.0,-111.0
6,1000,-138.0,-108.0,-128.0
6,10000,-128.0,-98.0,-118.0
6,100000,-118.0,-88.0,-108.0
9,1000,-135.0,-105.0,-125.0
9,10000,-125.0,-95.0,-115.0
9,100000,-115.0,-85.0,-105.0
